pattern_name,TP,FP,FN,precision,recall,F1,tolerance_s,confidence_thr,dataset,level,MAE,RMSE,avg_confidence
Montrose_LocalAlert_65,55,23,70,0.7051282051282052,0.44,0.541871921182266,0.5,0.85,drop_20,local_complex,1.690763120477503e-18,4.9207103367511915e-17,1.0
Montrose_LocalAlert_75,55,23,70,0.7051282051282052,0.44,0.541871921182266,0.5,0.85,drop_20,local_complex,1.690763120477503e-18,4.9207103367511915e-17,1.0
Montrose_LocalAlert_85,55,23,70,0.7051282051282052,0.44,0.541871921182266,0.5,0.85,drop_20,local_complex,1.690763120477503e-18,4.9207103367511915e-17,1.0
Montrose_LocalAlert_95,55,23,70,0.7051282051282052,0.44,0.541871921182266,0.5,0.85,drop_20,local_complex,1.690763120477503e-18,4.9207103367511915e-17,1.0
Regional_TripleAlert_65,18,4,23,0.8181818181818182,0.43902439024390244,0.5714285714285715,0.5,0.85,drop_20,distributed_complex,1.690763120477503e-18,4.9207103367511915e-17,1.0
Regional_TripleAlert_75,18,4,23,0.8181818181818182,0.43902439024390244,0.5714285714285715,0.5,0.85,drop_20,distributed_complex,1.690763120477503e-18,4.9207103367511915e-17,1.0
Regional_TripleAlert_85,18,4,23,0.8181818181818182,0.43902439024390244,0.5714285714285715,0.5,0.85,drop_20,distributed_complex,1.690763120477503e-18,4.9207103367511915e-17,1.0
Regional_TripleAlert_95,18,4,23,0.8181818181818182,0.43902439024390244,0.5714285714285715,0.5,0.85,drop_20,distributed_complex,1.690763120477503e-18,4.9207103367511915e-17,1.0
63rd_HighTurbidity_65,112,2,59,0.9824561403508771,0.6549707602339181,0.7859649122807016,0.5,0.85,drop_30,atomic,1.3270014368921323e-18,3.92083717565225e-17,1.0
63rd_HighTurbidity_75,112,2,59,0.9824561403508771,0.6549707602339181,0.7859649122807016,0.5,0.85,drop_30,atomic,1.3270014368921323e-18,3.92083717565225e-17,1.0
63rd_HighTurbidity_85,112,2,59,0.9824561403508771,0.6549707602339181,0.7859649122807016,0.5,0.85,drop_30,atomic,1.3270014368921323e-18,3.92083717565225e-17,1.0
63rd_HighTurbidity_95,112,2,59,0.9824561403508771,0.6549707602339181,0.7859649122807016,0.5,0.85,drop_30,atomic,1.3270014368921323e-18,3.92083717565225e-17,1.0
63rd_HighWavePeriod_65,610,70,355,0.8970588235294118,0.6321243523316062,0.7416413373860183,0.5,0.85,drop_30,atomic,1.3270014368921323e-18,3.92083717565225e-17,1.0
63rd_HighWavePeriod_75,610,70,355,0.8970588235294118,0.6321243523316062,0.7416413373860183,0.5,0.85,drop_30,atomic,1.3270014368921323e-18,3.92083717565225e-17,1.0
63rd_HighWavePeriod_85,610,70,355,0.8970588235294118,0.6321243523316062,0.7416413373860183,0.5,0.85,drop_30,atomic,1.3270014368921323e-18,3.92083717565225e-17,1.0
63rd_HighWavePeriod_95,610,70,355,0.8970588235294118,0.6321243523316062,0.7416413373860183,0.5,0.85,drop_30,atomic,1.3270014368921323e-18,3.92083717565225e-17,1.0
63rd_LocalAlert_65,72,3,47,0.96,0.6050420168067226,0.7422680412371133,0.5,0.85,drop_30,local_complex,1.3270014368921323e-18,3.92083717565225e-17,1.0
63rd_LocalAlert_75,72,3,47,0.96,0.6050420168067226,0.7422680412371133,0.5,0.85,drop_30,local_complex,1.3270014368921323e-18,3.92083717565225e-17,1.0
63rd_LocalAlert_85,72,3,47,0.96,0.6050420168067226,0.7422680412371133,0.5,0.85,drop_30,local_complex,1.3270014368921323e-18,3.92083717565225e-17,1.0
63rd_LocalAlert_95,72,3,47,0.96,0.6050420168067226,0.7422680412371133,0.5,0.85,drop_30,local_complex,1.3270014368921323e-18,3.92083717565225e-17,1.0
CalumetTo63rd_AlertSpread_65,8,1,21,0.8888888888888888,0.27586206896551724,0.42105263157894735,0.5,0.85,drop_30,distributed_complex,1.3270014368921323e-18,3.92083717565225e-17,1.0
