attribute,mode,Q,R,rmse,norm_rmse
Wave Period,velocity,0.05,0.05,1.78891258994558,1.0178576297325088
Wave Period,velocity,0.05,0.1,1.765198159232104,1.004364564519519
Wave Period,velocity,0.05,0.2,1.7388191874966445,0.9893554255619512
Wave Period,velocity,0.1,0.01,1.8286488415568507,1.0404668098047074
Wave Period,velocity,0.1,0.02,1.8219351971711382,1.0366468723747202
Wave Period,velocity,0.1,0.05,1.8059106815300963,1.027529224257269
Wave Period,velocity,0.1,0.1,1.787377068355641,1.0169839468176907
Wave Period,velocity,0.1,0.2,1.7643948188447185,1.003907478942969
Wave Period,velocity,0.2,0.01,1.828710574144532,1.0405019344864428
Wave Period,velocity,0.2,0.02,1.8250560539951453,1.0384225812313028
Wave Period,velocity,0.2,0.05,1.8154555247159014,1.0329600605741889
