# Logger: PatternLogger | Started: Tue Dec 30 12:10:48 EST 2025
fired_at,fired_offset_sec,pattern_name,pattern_type,subpatterns,subpattern_confidences,num_subpatterns,num_events,confidence,contributing_streams,nested_event_ids
2025-12-30 12:11:59.165,70.763,HighSpeedOverheat,complex,[Overspeeding;EngineOverheat],[1.0000;1.0000],2,2,1.0000,[engine-temp-1;speed-1],[[093e6006-6064-44ba-9cfc-6cf1a6b83c77];[d88598f1-ccf5-4ade-9b88-4a5b96d64d0d]]
2025-12-30 12:11:59.633,71.231,Overspeeding,atomic,[Overspeeding],[1.0000],1,1,1.0000,[speed-1],[[18644af8-64b6-4abc-9e31-86c0771593dd]]
2025-12-30 12:12:00.053,71.651,EngineOverheat,atomic,[EngineOverheat],[1.0000],1,1,1.0000,[engine-temp-1],[[ec5d448f-b1fc-434c-aaf8-0940ebd77770]]
2025-12-30 12:12:00.054,71.652,CrazyEvent,complex,[HighSpeedOverheat;EngineOverheat],[1.0000;1.0000],3,3,1.0000,[engine-temp-1;speed-1],[[093e6006-6064-44ba-9cfc-6cf1a6b83c77];[d88598f1-ccf5-4ade-9b88-4a5b96d64d0d];[ec5d448f-b1fc-434c-aaf8-0940ebd77770]]
2025-12-30 12:12:00.054,71.652,HighSpeedOverheat,complex,[Overspeeding;EngineOverheat],[1.0000;1.0000],2,2,1.0000,[engine-temp-1;speed-1],[[18644af8-64b6-4abc-9e31-86c0771593dd];[ec5d448f-b1fc-434c-aaf8-0940ebd77770]]
2025-12-30 12:12:00.644,72.242,Overspeeding,atomic,[Overspeeding],[1.0000],1,1,1.0000,[speed-1],[[b82337a6-f682-4100-a759-da7ffcd6c50c]]
2025-12-30 12:12:00.948,72.546,EngineOverheat,atomic,[EngineOverheat],[1.0000],1,1,1.0000,[engine-temp-1],[[275a0124-8bb9-4664-91b2-4e9d96c1a279]]
2025-12-30 12:12:00.948,72.546,CrazyEvent,complex,[HighSpeedOverheat;EngineOverheat],[1.0000;1.0000],3,3,1.0000,[engine-temp-1;speed-1],[[18644af8-64b6-4abc-9e31-86c0771593dd];[ec5d448f-b1fc-434c-aaf8-0940ebd77770];[275a0124-8bb9-4664-91b2-4e9d96c1a279]]
2025-12-30 12:12:00.948,72.546,HighSpeedOverheat,complex,[Overspeeding;EngineOverheat],[1.0000;1.0000],2,2,1.0000,[engine-temp-1;speed-1],[[b82337a6-f682-4100-a759-da7ffcd6c50c];[275a0124-8bb9-4664-91b2-4e9d96c1a279]]
2025-12-30 12:12:01.634,73.232,Overspeeding,atomic,[Overspeeding],[1.0000],1,1,1.0000,[speed-1],[[dda2b9ec-e95d-49a5-8738-7fa5e1427c9c]]
2025-12-30 12:12:01.839,73.437,EngineOverheat,atomic,[EngineOverheat],[1.0000],1,1,1.0000,[engine-temp-1],[[f2827c0b-199b-45b7-a75b-ddaf22878968]]
2025-12-30 12:12:01.841,73.439,CrazyEvent,complex,[HighSpeedOverheat;EngineOverheat],[1.0000;1.0000],3,3,1.0000,[engine-temp-1;speed-1],[[b82337a6-f682-4100-a759-da7ffcd6c50c];[275a0124-8bb9-4664-91b2-4e9d96c1a279];[f2827c0b-199b-45b7-a75b-ddaf22878968]]
2025-12-30 12:12:01.841,73.439,HighSpeedOverheat,complex,[Overspeeding;EngineOverheat],[1.0000;1.0000],2,2,1.0000,[engine-temp-1;speed-1],[[dda2b9ec-e95d-49a5-8738-7fa5e1427c9c];[f2827c0b-199b-45b7-a75b-ddaf22878968]]
2025-12-30 12:12:02.638,74.236,Overspeeding,atomic,[Overspeeding],[1.0000],1,1,1.0000,[speed-1],[[008b397b-d26d-4f98-aef6-cee6eecc8a28]]
2025-12-30 12:12:02.718,74.316,EngineOverheat,atomic,[EngineOverheat],[1.0000],1,1,1.0000,[engine-temp-1],[[85ee120f-b723-460f-9409-cf3bffc8f379]]
2025-12-30 12:12:02.719,74.317,CrazyEvent,complex,[HighSpeedOverheat;EngineOverheat],[1.0000;1.0000],3,3,1.0000,[engine-temp-1;speed-1],[[dda2b9ec-e95d-49a5-8738-7fa5e1427c9c];[f2827c0b-199b-45b7-a75b-ddaf22878968];[85ee120f-b723-460f-9409-cf3bffc8f379]]
2025-12-30 12:12:02.720,74.318,HighSpeedOverheat,complex,[Overspeeding;EngineOverheat],[1.0000;1.0000],2,2,1.0000,[engine-temp-1;speed-1],[[008b397b-d26d-4f98-aef6-cee6eecc8a28];[85ee120f-b723-460f-9409-cf3bffc8f379]]
2025-12-30 12:12:03.611,75.209,EngineOverheat,atomic,[EngineOverheat],[1.0000],1,1,1.0000,[engine-temp-1],[[06c2db37-79db-4ac7-8f47-e54a2d43f315]]
2025-12-30 12:12:03.611,75.209,CrazyEvent,complex,[HighSpeedOverheat;EngineOverheat],[1.0000;1.0000],3,3,1.0000,[engine-temp-1;speed-1],[[008b397b-d26d-4f98-aef6-cee6eecc8a28];[85ee120f-b723-460f-9409-cf3bffc8f379];[06c2db37-79db-4ac7-8f47-e54a2d43f315]]
2025-12-30 12:12:03.631,75.229,Overspeeding,atomic,[Overspeeding],[1.0000],1,1,1.0000,[speed-1],[[662e68ab-5a58-437b-b5af-10930b4b1378]]
2025-12-30 12:12:04.595,76.193,EngineOverheat,atomic,[EngineOverheat],[0.9842],1,1,0.9842,[engine-temp-1],[[4ed6cfdb-4f02-4b3e-b5ef-95696f20d0b7]]
2025-12-30 12:12:04.595,76.193,HighSpeedOverheat,complex,[Overspeeding;EngineOverheat],[1.0000;0.9842],2,2,0.9921,[engine-temp-1;speed-1],[[662e68ab-5a58-437b-b5af-10930b4b1378];[4ed6cfdb-4f02-4b3e-b5ef-95696f20d0b7]]
